0	723
1	432
2	690
3	371
4	410
5	639
6	750
7	997
8	953
9	557
10	897
11	222
12	815
13	357
14	135
15	916
16	848
17	629
18	920
19	429
20	261
21	1
22	886
23	575
24	436
25	588
26	825
27	807
28	684
29	79
30	920
31	746
32	180
33	660
34	563
35	5
36	341
37	510
38	710
39	112
40	192
41	561
42	887
43	377
44	586
45	120
46	204
47	741
48	215
49	55
50	805
51	814
52	270
53	432
54	157
55	337
56	477
57	993
58	558
59	670
60	201
61	302
62	896
63	974
64	656
65	710
66	851
67	263
68	813
69	491
70	527
71	309
72	279
73	229
74	575
75	135
76	478
77	633
78	945
79	557
80	514
81	709
82	282
83	713
84	144
85	368
86	220
87	84
88	856
89	443
90	516
91	851
92	77
93	168
94	178
95	289
96	679
97	917
98	685
99	873
100	21
101	404
102	641
103	603
104	470
105	33
106	559
107	420
108	553
109	263
110	416
111	718
112	347
113	730
114	272
115	818
116	61
117	527
118	675
119	45
120	68
121	907
122	311
123	335
124	579
125	953
126	932
127	729
128	705
129	832
130	663
131	439
132	721
133	989
134	926
135	117
136	300
137	548
138	919
139	70
140	262
141	632
142	152
143	355
144	395
145	966
146	599
147	51
148	56
149	703
150	389
151	299
152	281
153	805
154	599
155	912
156	900
157	732
158	380
159	515
160	596
161	228
162	233
163	946
164	350
165	158
166	595
167	726
168	392
169	312
170	182
171	100
172	895
173	930
174	107
175	608
176	892
177	17
178	131
179	13
180	477
181	924
182	148
183	905
184	459
185	566
186	468
187	81
188	561
189	151
190	868
191	600
192	312
193	268
194	911
195	785
196	900
197	761
198	650
199	280
200	958
201	312
202	855
203	502
204	698
205	413
206	560
207	814
208	784
209	677
210	520
211	684
212	350
213	99
214	715
215	919
216	248
217	127
218	882
219	939
220	983
221	694
222	245
223	651
224	190
225	509
226	514
227	428
228	727
229	795
230	79
231	682
232	326
233	19
234	75
235	166
236	224
237	421
238	691
239	555
240	575
241	645
242	487
243	535
244	412
245	268
246	190
247	354
248	126
249	861
250	326
251	181
252	8
253	59
254	454
255	99
256	495
257	200
258	962
259	487
260	311
261	101
262	280
263	990
264	553
265	629
266	883
267	855
268	199
269	791
270	636
271	110
272	356
273	877
274	130
275	791
276	707
277	67
278	609
279	38
280	296
281	591
282	49
283	40
284	292
285	986
286	13
287	912
288	684
289	138
290	71
291	205
292	398
293	148
294	822
295	249
296	165
297	540
298	519
299	160
300	948
301	638
302	49
303	671
304	229
305	409
306	982
307	17
308	484
309	595
310	563
311	30
312	190
313	84
314	848
315	779
316	584
317	482
318	51
319	906
320	158
321	397
322	758
323	532
324	803
325	400
326	800
327	582
328	574
329	436
330	343
331	159
332	666
333	998
334	285
335	587
336	814
337	124
338	550
339	615
340	834
341	138
342	265
343	162
344	40
345	163
346	941
347	58
348	984
349	942
350	518
351	675
352	552
353	418
354	917
355	979
356	747
357	80
358	236
359	596
360	566
361	740
362	823
363	667
364	986
365	535
366	839
367	240
368	858
369	187
370	625
371	223
372	881
373	754
374	723
375	504
376	815
377	178
378	951
379	80
380	569
381	520
382	829
383	179
384	853
385	545
386	511
387	161
388	426
389	745
390	840
391	849
392	507
393	912
394	657
395	72
396	830
397	837
398	537
399	858
400	346
401	169
402	596
403	737
404	794
405	28
406	734
407	536
408	178
409	407
410	319
411	574
412	420
413	595
414	706
415	218
416	209
417	17
418	733
419	287
420	304
421	226
422	69
423	792
424	593
425	334
426	323
427	535
428	956
429	322
430	259
431	44
432	743
433	764
434	893
435	980
436	229
437	73
438	728
439	275
440	359
